SMD_pid,SMD_origin,SMD_region,SMD_site,SMD_population
GD3P3-10,int,CGD,GD3,GD3P3
JX1P1-1,int,CJX,JX1,JX1P1
JX1P1-2,int,CJX,JX1,JX1P1
JX1P1-3,int,CJX,JX1,JX1P1
JX1P1-4,int,CJX,JX1,JX1P1
JX1P1-5,int,CJX,JX1,JX1P1
JX1P1-6,int,CJX,JX1,JX1P1
JX1P1-7,int,CJX,JX1,JX1P1
JX1P1-8,int,CJX,JX1,JX1P1
JX1P1-9,int,CJX,JX1,JX1P1
JX1P1-10,int,CJX,JX1,JX1P1
JX1P2-1,int,CJX,JX1,JX1P2
JX1P2-2,int,CJX,JX1,JX1P2
JX1P2-3,int,CJX,JX1,JX1P2
JX1P2-4,int,CJX,JX1,JX1P2
JX1P2-5,int,CJX,JX1,JX1P2
JX1P2-6,int,CJX,JX1,JX1P2
JX1P2-7,int,CJX,JX1,JX1P2
JX1P2-8,int,CJX,JX1,JX1P2
JX1P2-9,int,CJX,JX1,JX1P2
JX1P2-10,int,CJX,JX1,JX1P2
JX1P3-1,int,CJX,JX1,JX1P3
JX1P3-2,int,CJX,JX1,JX1P3
JX1P3-3,int,CJX,JX1,JX1P3
JX1P3-4,int,CJX,JX1,JX1P3
JX1P3-5,int,CJX,JX1,JX1P3
JX1P3-6,int,CJX,JX1,JX1P3
JX1P3-7,int,CJX,JX1,JX1P3
JX1P3-8,int,CJX,JX1,JX1P3
JX1P3-9,int,CJX,JX1,JX1P3
JX1P3-10,int,CJX,JX1,JX1P3
JX2P1-1,int,CJX,JX2,JX2P1
JX2P1-2,int,CJX,JX2,JX2P1
JX2P1-3,int,CJX,JX2,JX2P1
JX2P1-4,int,CJX,JX2,JX2P1
JX2P1-5,int,CJX,JX2,JX2P1
JX2P1-6,int,CJX,JX2,JX2P1
JX2P1-7,int,CJX,JX2,JX2P1
JX2P1-8,int,CJX,JX2,JX2P1
JX2P1-9,int,CJX,JX2,JX2P1
JX2P1-10,int,CJX,JX2,JX2P1
JX2P2-1,int,CJX,JX2,JX2P2
JX2P2-2,int,CJX,JX2,JX2P2
JX2P2-3,int,CJX,JX2,JX2P2
JX2P2-4,int,CJX,JX2,JX2P2
JX2P2-5,int,CJX,JX2,JX2P2
JX2P2-6,int,CJX,JX2,JX2P2
JX2P2-7,int,CJX,JX2,JX2P2
JX2P2-8,int,CJX,JX2,JX2P2
JX2P2-9,int,CJX,JX2,JX2P2
JX2P2-10,int,CJX,JX2,JX2P2
JX2P3-1,int,CJX,JX2,JX2P3
JX2P3-2,int,CJX,JX2,JX2P3
JX2P3-3,int,CJX,JX2,JX2P3
JX2P3-4,int,CJX,JX2,JX2P3
JX2P3-5,int,CJX,JX2,JX2P3
JX2P3-6,int,CJX,JX2,JX2P3
JX2P3-7,int,CJX,JX2,JX2P3
JX2P3-8,int,CJX,JX2,JX2P3
JX2P3-9,int,CJX,JX2,JX2P3
JX2P3-10,int,CJX,JX2,JX2P3
JX3P1-1,int,CJX,JX3,JX3P1
JX3P1-2,int,CJX,JX3,JX3P1
JX3P1-3,int,CJX,JX3,JX3P1
JX3P1-4,int,CJX,JX3,JX3P1
JX3P1-5,int,CJX,JX3,JX3P1
JX3P1-6,int,CJX,JX3,JX3P1
JX3P1-7,int,CJX,JX3,JX3P1
JX3P1-8,int,CJX,JX3,JX3P1
JX3P1-9,int,CJX,JX3,JX3P1
JX3P1-10,int,CJX,JX3,JX3P1
JX3P2-1,int,CJX,JX3,JX3P2
JX3P2-2,int,CJX,JX3,JX3P2
JX3P2-3,int,CJX,JX3,JX3P2
JX3P2-4,int,CJX,JX3,JX3P2
JX3P2-5,int,CJX,JX3,JX3P2
JX3P2-6,int,CJX,JX3,JX3P2
JX3P2-7,int,CJX,JX3,JX3P2
JX3P2-8,int,CJX,JX3,JX3P2
JX3P2-9,int,CJX,JX3,JX3P2
JX3P2-10,int,CJX,JX3,JX3P2
JX3P3-1,int,CJX,JX3,JX3P3
JX3P3-2,int,CJX,JX3,JX3P3
JX3P3-3,int,CJX,JX3,JX3P3
JX3P3-4,int,CJX,JX3,JX3P3
JX3P3-5,int,CJX,JX3,JX3P3
JX3P3-6,int,CJX,JX3,JX3P3
JX3P3-7,int,CJX,JX3,JX3P3
JX3P3-8,int,CJX,JX3,JX3P3
JX3P3-9,int,CJX,JX3,JX3P3
JX3P3-10,int,CJX,JX3,JX3P3
JX4P1-1,int,CJX,JX4,JX4P1
JX4P1-2,int,CJX,JX4,JX4P1
JX4P1-3,int,CJX,JX4,JX4P1
JX4P1-4,int,CJX,JX4,JX4P1
JX4P1-5,int,CJX,JX4,JX4P1
JX4P1-6,int,CJX,JX4,JX4P1
JX4P1-7,int,CJX,JX4,JX4P1
JX4P1-8,int,CJX,JX4,JX4P1
JX4P1-9,int,CJX,JX4,JX4P1
JX4P1-10,int,CJX,JX4,JX4P1
